interface_id;name;source_application_name;target_application_name;business_purpose;integration_route_type;data_category;lifecycle;data_class;contains_pii;middleware_application_names
IF-FROMAGE-001;SAP -> Salesforce Sync;SAP S/4HANA;Salesforce Sales Cloud;Customer master and pricing via Talend;via_middleware;transactional;active;internal;false;Talend Data Integration
IF-FROMAGE-002;SAP -> Power BI Feed;SAP BW/4HANA;Power BI;Financial and operational KPIs via Talend;via_middleware;reporting;active;internal;false;Talend Data Integration
IF-FROMAGE-003;Salesforce -> HubSpot;Salesforce Sales Cloud;HubSpot Marketing Hub;Lead handoff and campaign attribution;direct;master_data;active;internal;false;
IF-FROMAGE-004;CheeseTrack -> SAP;CheeseTrack;SAP S/4HANA;Production batch and traceability data;direct;transactional;active;internal;false;
IF-FROMAGE-005;CaveGuard -> Datadog;CaveGuard IoT;Datadog;IoT metrics forwarding for alerting;direct;reporting;active;internal;false;
IF-FROMAGE-006;CaveGuard -> Cave Dashboard;CaveGuard IoT;Cave Monitoring Dashboard;Grafana dashboard feed;direct;reporting;active;internal;false;
IF-FROMAGE-007;Okta -> All SaaS;Okta Workforce Identity;Microsoft 365;User provisioning and deprovisioning;direct;master_data;active;internal;false;
IF-FROMAGE-008;Workday -> Okta;Workday HCM;Okta Workforce Identity;HR-driven identity lifecycle;direct;master_data;active;internal;false;
IF-FROMAGE-009;Datadog -> PagerDuty;Datadog;PagerDuty;Alert escalation to on-call;direct;control;active;internal;false;
IF-FROMAGE-010;Talend -> Snowflake;Talend Data Integration;Snowflake;Project Fondue data feeds;via_middleware;reporting;active;internal;false;Talend Data Integration
