interface_id;environment;leg_order;source_application_name;target_application_name;status;source_endpoint;target_endpoint;trigger_details;env_job_name;authentication_mode;monitoring_url;env_notes;integration_tool_application_name
IF-FROMAGE-001;prod;1;SAP S/4HANA;Talend Data Integration;active;/api/customers;/jobs/sap_extract;Real-time customer updates;sap_salesforce_extract_prod;;;Prod extract leg;Talend Data Integration
IF-FROMAGE-001;prod;2;Talend Data Integration;Talend Data Integration;active;/jobs/sap_extract;/jobs/sap_transform;Transformation pipeline;sap_salesforce_transform_prod;;;Prod transform leg;Talend Data Integration
IF-FROMAGE-001;prod;3;Talend Data Integration;Salesforce Sales Cloud;active;/jobs/sap_load;/services/data/v60.0;Near real-time load;sap_salesforce_load_prod;;;Prod load leg;Talend Data Integration
IF-FROMAGE-001;qa;1;SAP S/4HANA;Talend Data Integration;active;/api/customers;/jobs/sap_extract_qa;QA customer sync;sap_salesforce_extract_qa;;;QA extract leg (multi-env showcase);Talend Data Integration
IF-FROMAGE-001;qa;2;Talend Data Integration;Talend Data Integration;active;/jobs/sap_extract_qa;/jobs/sap_transform_qa;QA transformation pipeline;sap_salesforce_transform_qa;;;QA transform leg (multi-env showcase);Talend Data Integration
IF-FROMAGE-001;qa;3;Talend Data Integration;Salesforce Sales Cloud;active;/jobs/sap_load_qa;/services/data/v60.0;QA load to Salesforce;sap_salesforce_load_qa;;;QA load leg (multi-env showcase);Talend Data Integration
IF-FROMAGE-002;prod;1;SAP BW/4HANA;Talend Data Integration;active;/bw/odata;/jobs/bw_extract;Daily BW extract;bw_powerbi_extract_prod;;;Prod extract leg;Talend Data Integration
IF-FROMAGE-002;prod;2;Talend Data Integration;Talend Data Integration;active;/jobs/bw_extract;/jobs/bw_transform;Daily KPI transform;bw_powerbi_transform_prod;;;Prod transform leg;Talend Data Integration
IF-FROMAGE-002;prod;3;Talend Data Integration;Power BI;active;/jobs/bw_load;/datasets/refreshes;Daily KPI load;bw_powerbi_load_prod;;;Prod load leg;Talend Data Integration
IF-FROMAGE-003;prod;1;Salesforce Sales Cloud;HubSpot Marketing Hub;active;/api/leads;/crm/v3/objects/contacts;Lead sync;salesforce_hubspot_prod;;;Prod direct leg;
IF-FROMAGE-004;prod;1;CheeseTrack;SAP S/4HANA;active;/api/batches;/api/traceability;Hourly batch export;cheesetrack_sap_prod;;;Prod direct leg;
IF-FROMAGE-005;prod;1;CaveGuard IoT;Datadog;active;/api/metrics;/api/v1/series;Real-time telemetry;caveguard_datadog_prod;;;Prod direct leg;
IF-FROMAGE-006;prod;1;CaveGuard IoT;Cave Monitoring Dashboard;active;/api/metrics;/api/datasource;Real-time dashboard feed;caveguard_dashboard_prod;;;Prod direct leg;
IF-FROMAGE-007;prod;1;Okta Workforce Identity;Microsoft 365;active;/scim/v2/Users;/scim/v2/Users;Provisioning sync;okta_m365_prod;;;Prod direct leg;
IF-FROMAGE-008;prod;1;Workday HCM;Okta Workforce Identity;active;/api/workers;/api/users;HR-driven lifecycle;workday_okta_prod;;;Prod direct leg;
IF-FROMAGE-009;prod;1;Datadog;PagerDuty;active;/api/v1/alerts;/v2/enqueue;Alert escalation;datadog_pagerduty_prod;;;Prod direct leg;
IF-FROMAGE-010;prod;1;Talend Data Integration;Talend Data Integration;active;/jobs/fondue_extract;/jobs/fondue_transform;Data extract;talend_snowflake_extract_prod;;;Prod extract leg;Talend Data Integration
IF-FROMAGE-010;prod;2;Talend Data Integration;Talend Data Integration;active;/jobs/fondue_transform;/jobs/fondue_load;Data transform;talend_snowflake_transform_prod;;;Prod transform leg;Talend Data Integration
IF-FROMAGE-010;prod;3;Talend Data Integration;Snowflake;active;/jobs/fondue_load;/api/v2/statements;Data load;talend_snowflake_load_prod;;;Prod load leg;Talend Data Integration
